cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,1878,1986,9305,9006,5178,2250,960,390,370
1940,Medium,1022,934,3627,2994,1587,597,213,77,68
1940,High,1604,942,3604,3084,1539,512,205,58,57
1941,Low,2075,2088,9882,9485,5212,2048,867,324,286
1941,Medium,1196,1115,3965,3106,1650,560,245,85,79
1941,High,1786,1078,4295,3482,1602,461,181,77,68
1942,Low,2141,2343,10765,10118,5209,2044,772,331,308
1942,Medium,1284,1318,4703,3525,1621,572,226,81,63
1942,High,2037,1329,5192,3916,1688,501,186,56,42
1943,Low,2144,2482,11425,9941,5120,1904,761,287,229
1943,Medium,1396,1377,5077,3662,1657,496,219,88,61
1943,High,2209,1461,5477,4040,1631,511,166,50,53
1944,Low,2548,2748,13213,10889,5288,1822,761,269,233
1944,Medium,1582,1623,6188,4152,1763,560,192,74,73
1944,High,2627,1849,6640,4607,1841,478,160,66,56
1945,Low,2741,2856,14237,11173,5203,1848,625,280,222
1945,Medium,1747,1789,6757,4420,1799,572,212,101,56
1945,High,2797,2013,7246,4888,1895,543,163,76,58
1946,Low,2789,3028,14847,11339,5087,1689,638,229,211
1946,Medium,2004,1984,7639,4888,1940,577,208,93,57
1946,High,2984,2346,8120,5063,2009,510,163,59,50
1947,Low,3277,3679,18026,13331,5685,1895,671,230,200
1947,Medium,2511,2599,9824,6033,2321,669,203,84,63
1947,High,3974,3193,10434,6535,2572,663,236,79,38
1948,Low,3012,3447,16946,12293,5277,1645,647,233,200
1948,Medium,2470,2645,9647,5912,2233,725,220,86,62
1948,High,4026,3107,10325,6294,2361,604,169,65,58
1949,Low,3182,3603,16577,12001,5120,1583,556,205,153
1949,Medium,2599,2788,9828,5885,2274,698,242,73,60
1949,High,4299,3430,10905,6490,2416,627,177,71,41
1950,Low,3264,3672,16935,11771,4944,1658,588,215,159
1950,Medium,2770,3001,10410,6179,2383,697,220,88,72
1950,High,4680,3764,11725,7248,2677,743,223,65,51
1951,Low,3230,3808,16499,11753,4841,1510,555,201,143
1951,Medium,2886,3187,10812,6827,2506,706,229,80,71
1951,High,5182,4121,12408,7662,2837,711,220,81,51
1952,Low,3293,3719,15802,10980,4657,1482,499,167,148
1952,Medium,3225,3538,11446,6995,2623,722,236,85,63
1952,High,5505,4372,13271,8121,2967,735,221,65,62
1953,Low,3318,3889,15306,10909,4521,1355,494,177,146
1953,Medium,3474,3848,12034,7335,2805,766,254,104,78
1953,High,6221,4770,14363,8718,3142,776,226,101,61
1954,Low,3370,3797,14566,10430,4259,1339,509,205,148
1954,Medium,3657,4266,12542,7666,2874,826,274,97,75
1954,High,6696,5135,14521,9086,3343,783,234,79,63
1955,Low,3390,3853,14034,10109,4172,1331,447,194,138
1955,Medium,3825,4524,12913,7982,3034,812,282,120,78
1955,High,7088,5679,15693,9457,3210,848,229,96,54
1956,Low,3486,3828,13473,9601,4119,1298,459,193,155
1956,Medium,4241,4831,13711,8465,3221,887,305,129,108
1956,High,7615,5969,16457,9815,3446,866,255,84,82
1957,Low,3470,3630,13280,9247,3961,1333,469,181,145
1957,Medium,4405,5167,14110,8822,3254,977,307,108,93
1957,High,7978,6312,17257,10268,3570,844,274,116,67
1958,Low,3614,3693,12981,9532,3977,1311,492,172,151
1958,Medium,4655,5303,14937,9186,3342,1033,331,125,106
1958,High,8343,6488,18004,10772,3655,937,293,85,71
1959,Low,3595,3708,12530,8738,3865,1227,476,210,166
1959,Medium,5015,5240,15909,9650,3567,963,348,123,83
1959,High,8705,6566,18536,10889,3714,862,263,95,70
1960,Low,3500,3671,12276,8586,3783,1244,473,211,156
1960,Medium,5438,5576,17253,10145,3890,1069,359,116,99
1960,High,8769,6941,19365,11010,3550,856,236,93,70
1961,Low,3502,3598,12328,8384,3614,1147,444,188,158
1961,Medium,5903,5921,18035,11027,3956,1115,390,161,124
1961,High,9361,7384,20306,11069,3618,894,275,105,72
1962,Low,3710,3585,11977,7942,3480,1256,485,174,151
1962,Medium,6207,6065,18785,10977,4039,1161,387,165,114
1962,High,9601,7443,20438,11006,3392,864,291,91,76
1963,Low,3642,3847,11580,7675,3346,1149,446,191,151
1963,Medium,6393,6443,18903,10916,3833,1179,407,141,125
1963,High,9950,8188,21168,10971,3378,796,261,104,80
1964,Low,3628,3672,11267,7500,3196,1104,463,189,156
1964,Medium,6274,6302,18812,10579,3838,1068,387,132,133
1964,High,10134,8397,21504,11095,3422,803,233,91,78
1965,Low,3448,3418,10451,6651,2911,1038,466,185,167
1965,Medium,6347,6127,18370,10162,3556,1076,427,164,132
1965,High,10035,8149,21197,10626,3217,764,238,105,47
1966,Low,3371,3213,9913,6342,2752,1021,441,164,158
1966,Medium,6257,6204,18329,10156,3559,1097,437,166,153
1966,High,10340,8504,22351,11123,3160,774,220,94,85
1967,Low,3084,3052,9109,5906,2600,976,400,177,137
1967,Medium,6669,6335,18821,10288,3530,1111,428,157,142
1967,High,10449,8751,23197,10974,3237,713,236,94,75
1968,Low,2938,3066,8699,5690,2544,969,426,179,149
1968,Medium,6804,6764,19331,10509,3780,1150,441,174,148
1968,High,11044,9600,24778,11723,3353,763,244,100,74
1969,Low,3048,3007,8556,5528,2450,944,433,181,174
1969,Medium,7023,7080,19777,10749,3751,1136,448,184,147
1969,High,11707,10202,26772,12547,3446,811,242,109,93
1970,Low,2844,2922,8047,5158,2311,952,434,157,157
1970,Medium,7177,7180,19863,10628,3587,1118,461,182,168
1970,High,12527,10734,27861,12952,3544,747,275,104,79
