cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,2719,2772,12277,11475,6468,2754,1152,462,429
1940,Medium,744,512,2222,1893,1022,351,129,33,36
1940,High,1044,579,2037,1717,818,251,93,36,31
1941,Low,3075,3026,13102,11998,6552,2507,1066,395,353
1941,Medium,826,630,2606,2143,995,307,122,50,50
1941,High,1149,636,2436,1924,908,258,105,43,28
1942,Low,3218,3403,14557,12879,6485,2509,961,403,360
1942,Medium,926,773,3104,2444,1099,319,121,40,29
1942,High,1319,819,2997,2230,932,285,110,25,21
1943,Low,3265,3594,15464,12803,6402,2292,930,361,284
1943,Medium,1024,817,3376,2510,1121,341,127,35,35
1943,High,1454,902,3140,2325,876,276,90,40,29
1944,Low,3852,3992,18020,14054,6641,2270,915,333,294
1944,Medium,1173,1110,4168,2940,1235,324,110,41,34
1944,High,1729,1112,3860,2641,1010,267,94,33,33
1945,Low,4140,4228,19370,14476,6502,2270,788,356,265
1945,Medium,1282,1176,4651,3209,1322,378,119,52,50
1945,High,1858,1259,4218,2806,1053,312,92,42,24
1946,Low,4404,4578,20595,14940,6498,2118,797,303,260
1946,Medium,1322,1362,5145,3363,1358,362,115,53,39
1946,High,2053,1418,4861,2985,1172,303,103,27,23
1947,Low,5273,5712,25359,17721,7348,2383,814,284,247
1947,Medium,1734,1750,6840,4388,1763,462,155,60,37
1947,High,2760,2010,6077,3801,1460,380,140,33,24
1948,Low,4970,5471,24153,16556,6892,2154,793,299,250
1948,Medium,1694,1786,6628,4190,1612,452,147,57,41
1948,High,2833,1938,6136,3750,1364,361,86,31,31
1949,Low,5270,5691,23701,16138,6694,2052,728,259,196
1949,Medium,1785,1888,6966,4381,1664,501,139,41,29
1949,High,3026,2237,6642,3862,1442,363,110,46,31
1950,Low,5398,5929,24308,16016,6492,2122,729,274,205
1950,Medium,2064,2078,7465,4815,1943,545,183,53,39
1950,High,3248,2430,7295,4362,1572,429,121,43,29
1951,Low,5421,6174,24029,16346,6426,1976,699,248,197
1951,Medium,2209,2249,7943,5375,2095,531,184,66,47
1951,High,3660,2699,7756,4534,1657,415,122,54,27
1952,Low,5709,6332,23674,15466,6279,1947,634,225,191
1952,Medium,2396,2455,8676,5682,2183,568,201,65,58
1952,High,3915,2845,8166,4948,1786,437,127,28,37
1953,Low,5908,6630,23451,15679,6272,1815,646,240,195
1953,Medium,2652,2756,9273,5954,2313,645,190,70,54
1953,High,4451,3133,8980,5322,1885,438,137,60,32
1954,Low,6051,6892,22970,15370,5993,1830,687,270,213
1954,Medium,2869,2978,9565,6108,2465,648,207,67,53
1954,High,4795,3327,9098,5707,2019,471,126,47,32
1955,Low,6221,7130,22499,15144,5966,1819,598,263,195
1955,Medium,2983,3252,10190,6587,2522,674,220,94,60
1955,High,5101,3675,9957,5820,1939,502,135,49,29
1956,Low,6539,7374,22523,14817,6019,1826,648,269,235
1956,Medium,3319,3342,10595,7046,2644,716,233,78,64
1956,High,5488,3908,10502,6016,2108,506,143,49,49
1957,Low,6601,7241,22422,14630,5837,1923,649,243,200
1957,Medium,3490,3746,11344,7367,2756,764,269,88,61
1957,High,5779,4123,10874,6349,2189,477,142,73,44
1958,Low,6878,7392,22406,14978,5845,1881,680,252,218
1958,Medium,3799,3826,12035,7899,3005,884,286,88,62
1958,High,5938,4272,11488,6615,2130,518,154,39,34
1959,Low,7105,7290,22590,14510,5864,1763,680,273,229
1959,Medium,3944,3842,12715,8037,3106,815,256,114,62
1959,High,6268,4380,11676,6723,2178,467,144,36,37
1960,Low,7227,7469,23179,14576,5995,1825,678,277,212
1960,Medium,4208,4136,13553,8470,3160,879,265,91,72
1960,High,6274,4592,12162,6697,2064,466,137,51,40
1961,Low,7515,7524,23663,14852,5847,1767,650,286,229
1961,Medium,4614,4542,14231,8939,3264,885,329,119,94
1961,High,6638,4837,12774,6690,2082,493,131,54,34
1962,Low,7896,7560,23702,14387,5664,1896,709,260,217
1962,Medium,4791,4606,14447,8796,3295,897,295,112,83
1962,High,6838,4923,13039,6751,1950,489,165,47,40
1963,Low,7876,8116,23129,14126,5460,1814,682,279,229
1963,Medium,5082,4913,14994,8600,3113,895,296,103,97
1963,High,7027,5441,13524,6835,1985,410,134,56,40
1964,Low,7849,7734,22649,13552,5298,1685,679,263,238
1964,Medium,5079,5045,15130,8792,3181,854,295,120,81
1964,High,7105,5587,13805,6832,1978,433,105,40,39
1965,Low,7697,7332,21507,12541,4860,1644,695,277,249
1965,Medium,5158,4969,14757,8332,2928,829,301,117,64
1965,High,6982,5392,13758,6559,1889,392,131,54,27
1966,Low,7533,7130,21284,12282,4736,1625,693,268,260
1966,Medium,5062,5118,14699,8451,2923,850,312,108,105
1966,High,7373,5671,14605,6890,1807,417,92,46,35
1967,Low,7459,6971,20563,11870,4609,1580,648,281,222
1967,Medium,5349,5361,15391,8382,2833,857,308,103,98
1967,High,7396,5817,15187,6911,1923,360,115,40,30
1968,Low,7444,7382,20486,11840,4666,1634,686,272,249
1968,Medium,5516,5521,15839,8528,2999,858,305,126,80
1968,High,7820,6534,16488,7567,2023,394,124,49,44
1969,Low,7667,7453,20515,11787,4579,1586,709,283,259
1969,Medium,5703,5928,16665,8777,2945,856,296,125,112
1969,High,8404,6903,17928,8258,2133,459,116,65,46
1970,Low,7524,7375,20020,11319,4336,1585,712,265,273
1970,Medium,5985,6147,16734,8833,2897,806,313,120,91
1970,High,9046,7320,19023,8592,2209,445,149,52,34
