cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,1150,3267,7344,3279,1202,535,227,121,147
1940,Medium,527,1566,2510,448,84,23,3,1,2
1940,High,339,638,994,128,17,6,2,0,0
1941,Low,1011,2781,6604,2913,1100,495,196,102,121
1941,Medium,509,1618,2769,495,67,18,6,5,3
1941,High,344,699,1212,154,26,8,0,0,0
1942,Low,890,2641,6499,2790,1123,404,194,94,124
1942,Medium,607,2082,3590,614,113,19,6,2,1
1942,High,450,873,1560,191,31,3,1,0,2
1943,Low,761,2230,5663,2428,882,326,165,58,97
1943,Medium,603,2010,3893,647,97,26,10,3,2
1943,High,421,826,1606,246,34,5,1,0,0
1944,Low,677,1742,4843,2120,847,294,122,50,78
1944,Medium,566,1856,3909,732,115,23,5,2,2
1944,High,375,730,1447,213,34,4,4,0,2
1945,Low,569,1525,4209,1871,724,272,117,56,66
1945,Medium,573,1710,3826,710,117,25,8,5,3
1945,High,361,650,1410,226,32,7,3,0,0
1946,Low,644,1748,5159,2258,786,308,134,61,60
1946,Medium,777,2285,5438,935,159,29,13,5,1
1946,High,569,1000,2092,302,39,5,0,1,2
1947,Low,710,1903,5802,2427,768,321,137,76,77
1947,Medium,857,2362,5903,1083,177,34,5,2,4
1947,High,637,1115,2306,315,52,7,1,2,2
1948,Low,755,1731,5863,2420,852,294,120,55,68
1948,Medium,850,2486,6217,1180,174,26,9,2,3
1948,High,628,1122,2292,391,45,6,3,0,1
1949,Low,716,1744,6330,2588,811,315,125,60,60
1949,Medium,998,2691,6914,1314,208,54,20,6,7
1949,High,672,1165,2409,434,53,23,1,1,0
1950,Low,748,1757,6080,2413,755,256,123,52,74
1950,Medium,1041,2797,7187,1304,234,53,15,7,10
1950,High,727,1199,2515,370,58,8,5,1,0
1951,Low,666,1506,5613,2188,755,225,108,45,56
1951,Medium,1007,2598,7039,1324,220,49,8,8,3
1951,High,723,1254,2429,358,62,13,4,1,1
1952,Low,746,1667,6140,2505,774,250,110,57,63
1952,Medium,1098,2822,7656,1404,271,60,16,7,9
1952,High,790,1258,2595,413,63,11,1,1,0
1953,Low,722,1651,5940,2366,699,271,114,50,60
1953,Medium,1230,2865,8074,1668,262,69,15,4,7
1953,High,778,1341,2590,379,56,14,3,1,1
1954,Low,739,1534,5798,2405,708,253,101,50,66
1954,Medium,1234,2975,8577,1826,324,67,22,10,6
1954,High,725,1251,2480,426,83,12,10,6,0
1955,Low,743,1414,5671,2236,700,253,105,42,55
1955,Medium,1374,3287,9088,2014,357,86,25,12,6
1955,High,800,1331,2522,453,78,18,6,1,3
1956,Low,693,1434,5286,2259,725,256,84,46,51
1956,Medium,1420,3363,9476,2040,426,105,39,9,14
1956,High,794,1374,2498,465,92,18,8,3,2
1957,Low,636,1273,4962,1993,650,230,101,40,49
1957,Medium,1384,3098,9166,2286,453,100,32,10,11
1957,High,833,1324,2459,505,85,29,3,0,1
1958,Low,657,1143,4548,2053,661,233,83,33,62
1958,Medium,1352,3134,9215,2304,510,122,30,13,10
1958,High,900,1392,2610,520,123,39,10,2,0
1959,Low,628,1120,4306,1889,669,208,95,44,68
1959,Medium,1492,3230,9314,2510,594,126,33,12,13
1959,High,956,1429,2532,609,132,31,11,3,1
1960,Low,621,992,4030,1795,661,231,70,50,54
1960,Medium,1529,3338,9476,2714,632,141,42,17,19
1960,High,906,1376,2464,669,155,26,9,1,3
1961,Low,547,1026,3778,1739,611,213,80,37,61
1961,Medium,1589,3320,9202,2796,638,150,52,21,13
1961,High,995,1401,2668,662,133,39,8,4,3
1962,Low,519,918,3433,1742,592,209,93,43,51
1962,Medium,1506,3243,8987,2985,731,163,52,22,12
1962,High,1004,1405,2557,705,111,34,6,5,1
1963,Low,501,864,2972,1553,545,194,76,37,43
1963,Medium,1700,3166,8715,3066,773,174,62,16,12
1963,High,1035,1299,2449,697,124,23,2,4,3
1964,Low,510,790,2859,1554,576,183,85,33,46
1964,Medium,1599,3220,8593,3106,799,200,59,16,18
1964,High,1003,1295,2432,650,133,21,6,1,2
1965,Low,527,783,2784,1532,576,199,80,34,61
1965,Medium,1902,3472,8973,3226,840,205,46,19,16
1965,High,1162,1350,2507,682,118,23,6,1,2
1966,Low,495,780,2699,1479,503,202,69,39,47
1966,Medium,2034,3424,8953,3351,861,184,58,18,18
1966,High,1225,1336,2490,627,104,29,5,3,1
1967,Low,492,682,2502,1415,531,190,87,44,38
1967,Medium,1914,3296,8383,3212,763,210,37,14,16
1967,High,1199,1309,2378,642,105,21,7,2,2
1968,Low,491,689,2281,1420,515,188,83,39,43
1968,Medium,1967,3186,7868,3189,722,164,49,22,15
1968,High,1317,1425,2380,599,110,17,3,2,0
1969,Low,520,664,2096,1229,513,176,71,39,34
1969,Medium,2002,3094,7524,2910,678,185,42,21,14
1969,High,1360,1481,2569,609,106,20,8,5,5
1970,Low,428,579,1814,1181,433,187,65,41,47
1970,Medium,2055,2918,7248,2755,613,109,29,11,9
1970,High,1494,1482,2496,589,98,21,7,1,0
