cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,17553.89976,13201.33107,45072.31836,35670.89315,20420.12515,8800.640727,3867.229635,2359.943147,2324.073613
1940,Medium,11208.20657,6485.114559,20133.59238,15047.18809,8072.981417,2645.131397,1265.840497,385.2055768,348.7989649
1940,High,3852.319272,1444.812233,3318.991504,2852.703072,1927.571033,638.1714652,228.2087794,88.44692531,140.0989259
1941,Low,13369.71581,9706.817975,33621.08237,25397.58156,14826.58145,7067.923781,3200.236148,1335.424711,1640.457074
1941,Medium,10203.99289,6466.098929,19579.68192,13340.03783,6702.043559,2465.710963,1338.504805,664.5699586,410.5817691
1941,High,3425.70492,1458.29687,4295.594875,3453.408489,1370.219363,479.5147603,248.2704767,39.52589322,128.7302355
1942,Low,13442.96087,10409.40584,35480.08573,27997.61893,15404.25597,7165.490575,3257.851156,1580.782067,1457.702043
1942,Medium,11049.35088,6906.594134,21632.0128,15486.76314,7203.091798,3084.955496,1111.499992,467.4071909,219.099499
1942,High,4448.05159,1345.409992,4644.39686,3497.037941,1628.543551,674.6580184,168.4701234,144.8868454,61.91562727
1943,Low,13945.59326,10500.14624,41413.34859,31548.47895,16519.72121,8346.97867,2832.144538,1233.813645,1373.354739
1943,Medium,12975.22935,7828.181749,28073.99215,17427.38483,8289.957212,3283.434195,1117.020717,448.001815,255.5279918
1943,High,4526.291967,2013.656624,5619.384684,4011.000572,2287.249175,630.6085836,235.1000356,65.96355145,142.6344444
1944,Low,14982.20326,11351.0849,40406.24942,30873.77908,16821.17618,6655.503035,3036.7577,1381.348329,1536.655712
1944,Medium,13939.41912,9044.243931,31261.62445,19870.19834,8697.147143,3249.043335,998.6637158,320.5603178,253.1028446
1944,High,5296.795495,2196.624224,7016.90754,4318.422224,2090.920204,536.4962239,322.0646545,39.36889602,72.06084679
1945,Low,15273.57243,10671.33731,41612.49893,33214.55089,16531.58234,7375.705462,3003.194581,1241.754314,1109.12736
1945,Medium,14488.61245,10439.46003,35358.99684,21686.16239,9834.951717,3182.168348,945.9660676,238.5420879,310.5498311
1945,High,5252.6193,2485.207135,7424.0574,4545.596485,1940.020241,649.0703988,151.6501569,90.66603513,57.40940266
1946,Low,13052.07484,9177.883214,37420.70345,27428.81469,13980.62163,6135.964939,2323.680595,1388.947921,682.6842118
1946,Medium,14415.94347,10068.79255,36174.72079,21755.75204,8587.966756,2564.957723,975.0015104,411.5736137,282.732732
1946,High,6026.219879,3199.090373,9257.136295,5332.89186,1496.685857,778.1290181,234.7786905,34.8846088,34.15045213
1947,Low,13425.28746,9304.25062,36929.40367,28002.54988,13738.61522,4949.841477,2320.82974,980.2733151,868.9777229
1947,Medium,15298.16877,12669.0959,41975.06602,23569.58633,8659.809613,3041.620563,985.6331424,236.174138,289.1107073
1947,High,6729.949254,3327.041656,9203.158177,5784.974193,2089.500821,595.3781676,228.9427671,16.74129426,15.14656108
1948,Low,12953.49198,9776.042109,41209.8115,28568.12867,13271.69909,5384.411653,2210.545787,1455.002692,743.9815515
1948,Medium,15416.24864,13743.8481,47161.50454,26008.35714,9326.873522,3176.473694,1114.116975,385.4915869,234.4739495
1948,High,7155.526478,4075.115277,11040.06437,5934.080855,1794.833461,561.5092256,146.5505425,70.60720677,27.29100454
1949,Low,11726.14343,8567.376278,38441.10277,26451.20845,12008.58213,4616.937901,1526.708246,894.4653921,704.1988804
1949,Medium,16421.2823,15014.94141,49628.56715,26056.40094,9408.931261,2577.180224,690.2984214,347.2140578,167.6615299
1949,High,7104.642806,4864.004361,12435.68109,5843.449405,1832.644775,530.1368474,152.0739271,8.306752081,144.26335
1950,Low,11082.69582,8694.817272,34498.07277,23707.2911,10688.10777,4423.793318,1091.502064,562.439988,626.8553667
1950,Medium,15742.26651,16953.0028,52668.25191,26153.49066,8077.624793,2389.83127,673.5564034,152.1702973,109.0877535
1950,High,8042.725089,4915.633347,13240.82015,6665.013114,1528.077285,365.1199553,92.08534507,125.5385806,6.30520785
1951,Low,9649.530809,7966.696133,32692.42435,21721.80075,9021.222745,3388.361458,1603.930195,495.7728849,571.4942344
1951,Medium,16879.2487,16352.53009,53443.20976,26524.59609,7014.964957,2082.059119,693.4029988,151.8935707,108.4506259
1951,High,8262.011345,5771.036455,15001.14039,6586.302861,1370.435809,297.1468079,53.72826859,25.63704003,99.20951129
1952,Low,9605.450107,8301.688122,33583.24256,20959.37023,9160.464969,3313.354445,1153.673572,386.768377,528.232581
1952,Medium,16990.8814,19099.32954,61033.44815,27701.96667,7812.095624,1956.89945,704.3658075,274.0516371,84.79066721
1952,High,9328.342275,6483.64192,17085.73634,6232.866332,1702.077463,270.7954392,79.33883712,45.86884651,0
1953,Low,9425.32701,8159.008435,31705.54493,18793.27331,7617.307673,2656.287269,862.561395,262.7901668,570.0843084
1953,Medium,17757.65225,21450.64558,65122.6001,27815.57213,7234.376428,1685.169758,565.2790497,119.7744133,142.0311797
1953,High,10759.15874,7159.894742,17734.46496,6341.434468,1303.71737,498.6588708,146.2637103,97.65432083,29.48001681
1954,Low,8998.735175,9077.889487,31047.20814,17281.10287,6593.249066,2507.34455,854.095296,689.3263057,375.2729595
1954,Medium,19204.09378,23383.50137,69295.06693,26145.09812,6573.492269,1845.109679,534.9028073,183.0316289,102.7241473
1954,High,10928.29267,8599.13124,21256.1009,6866.008533,1267.904755,272.7473301,195.4845551,49.10888455,59.55954638
1955,Low,8376.165696,7910.229642,29037.23816,15772.2252,6468.3457,2388.183553,875.8924308,371.1550793,256.3444135
1955,Medium,20160.24157,26454.72831,73238.30414,26861.52365,6307.067898,1509.750674,659.832773,139.8277887,186.5195425
1955,High,13072.94248,10793.40023,23195.67064,7366.903355,1455.051019,286.4368155,124.600074,54.33651656,54.65503373
1956,Low,8817.343805,8135.873509,29586.87197,15736.1853,5353.929577,1633.02035,803.8414908,456.7845855,462.1549218
1956,Medium,19594.61682,27814.4879,77582.13944,25993.13636,5987.397508,1564.515595,291.7859919,79.5225342,88.75418169
1956,High,14418.57343,11539.07169,25566.48627,7182.172985,1294.704327,411.4298973,62.93811662,13.05674903,16.83675907
1957,Low,7963.900505,8781.907724,27991.25238,14411.66466,5398.418005,2113.241626,888.1686672,310.8096274,333.0287086
