cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,1340,1987,4168,2292,967,291,109,46,42
1940,Medium,770,1148,2369,1187,421,117,41,10,26
1940,High,816,725,1700,758,172,39,6,11,9
1941,Low,1713,2844,5596,3014,1112,347,119,45,58
1941,Medium,1193,1734,3448,1720,514,170,36,15,19
1941,High,1277,1158,2764,1105,255,59,11,8,27
1942,Low,1104,1931,3617,1919,684,208,73,27,36
1942,Medium,720,1260,2588,1143,373,92,31,16,36
1942,High,944,963,2119,885,194,42,14,6,19
1943,Low,1302,2388,4501,2235,812,219,66,27,46
1943,Medium,979,1657,3227,1511,445,98,38,15,40
1943,High,1229,1223,2822,1055,257,59,12,11,16
1944,Low,1393,2580,4603,2182,746,207,73,25,46
1944,Medium,1133,1803,3559,1648,480,112,49,15,32
1944,High,1275,1355,2986,1181,262,64,17,4,21
1945,Low,1619,3216,5502,2493,889,215,67,26,53
1945,Medium,1407,2437,4621,2031,631,146,48,27,44
1945,High,1609,1734,3668,1496,361,73,32,16,38
1946,Low,1803,3435,6037,2631,888,229,68,20,55
1946,Medium,1667,2803,5487,2389,717,170,56,15,54
1946,High,1927,2070,4285,1737,389,74,12,13,37
1947,Low,1845,3411,5944,2607,825,229,77,39,42
1947,Medium,1921,2942,5875,2563,727,164,54,33,53
1947,High,1887,2019,4517,1843,384,75,28,15,41
1948,Low,1789,3179,5603,2479,772,197,64,30,40
1948,Medium,1910,3156,6154,2825,709,188,57,18,60
1948,High,2027,2173,4524,1835,461,89,36,12,49
1949,Low,1696,2852,5100,2207,702,214,71,16,36
1949,Medium,2043,3162,6356,2776,815,185,50,23,56
1949,High,2069,2029,4584,1916,545,95,28,17,51
1950,Low,1685,2617,4621,2070,622,171,49,28,37
1950,Medium,2011,3240,6445,2827,801,170,62,18,61
1950,High,2008,1992,4434,2003,503,93,32,9,44
1951,Low,1519,2256,3972,1844,575,159,49,28,33
1951,Medium,1969,3065,6214,2967,735,220,55,33,69
1951,High,2110,2050,4586,2092,489,112,40,18,46
1952,Low,1569,2095,3764,1758,536,195,54,30,34
1952,Medium,2163,3193,6534,3243,866,211,56,29,63
1952,High,2302,2195,4876,2260,532,87,28,14,47
1953,Low,1460,1783,3150,1445,472,154,46,19,33
1953,Medium,2234,3068,6437,3061,894,189,59,20,66
1953,High,2321,2228,5152,2529,613,108,31,19,39
1954,Low,1457,1647,2888,1373,484,161,58,22,29
1954,Medium,2341,3083,6597,3182,1008,259,70,32,81
1954,High,2485,2326,5443,2598,685,143,34,10,43
1955,Low,1388,1460,2538,1304,445,110,43,21,32
1955,Medium,2308,3019,6237,3315,1073,266,82,18,75
1955,High,2554,2280,5678,2829,713,133,47,21,46
1956,Low,1378,1354,2273,1165,427,137,36,24,27
1956,Medium,2341,2977,6310,3331,1042,280,80,35,85
1956,High,2639,2459,5779,3058,822,163,35,24,44
1957,Low,1339,1248,1876,1101,421,119,57,25,31
1957,Medium,2303,2779,5909,3427,1115,294,93,37,76
1957,High,2668,2341,5778,3186,824,168,53,13,51
1958,Low,1307,1003,1651,907,349,123,46,25,26
1958,Medium,2278,2655,5576,3289,1160,278,106,40,88
1958,High,2673,2280,5675,3215,807,182,39,18,40
1959,Low,1174,931,1536,832,362,115,48,21,23
1959,Medium,2370,2657,5804,3481,1153,301,87,38,96
1959,High,2822,2455,6112,3349,866,187,62,19,41
1960,Low,1160,794,1273,764,338,124,45,30,40
1960,Medium,2443,2652,5818,3536,1236,315,121,45,95
1960,High,3012,2481,6281,3427,880,187,54,18,54
1961,Low,1116,724,1120,704,306,132,49,26,26
1961,Medium,2493,2643,5793,3510,1227,363,92,46,91
1961,High,3027,2671,6444,3562,873,160,64,14,48
1962,Low,1090,664,1016,671,295,109,46,26,42
1962,Medium,2617,2673,5626,3442,1192,356,107,54,103
1962,High,3202,2579,6634,3478,933,181,44,20,49
1963,Low,1051,693,1004,659,281,108,60,39,33
1963,Medium,2660,2578,5521,3528,1223,343,117,48,112
1963,High,3250,2822,6873,3495,897,213,57,22,60
1964,Low,1129,680,964,631,301,147,44,25,60
1964,Medium,2601,2394,5280,3381,1135,337,108,48,91
1964,High,3407,2845,6976,3575,909,188,42,15,44
1965,Low,1068,642,932,642,328,127,63,32,32
1965,Medium,2573,2342,5128,3122,1140,329,122,49,98
1965,High,3440,2784,6932,3548,853,216,66,21,56
1966,Low,1049,656,989,606,309,106,58,16,37
1966,Medium,2586,2297,4911,3078,993,321,108,49,85
1966,High,3535,2827,7204,3429,912,206,62,30,68
1967,Low,992,689,904,587,253,115,54,31,35
1967,Medium,2568,2319,4789,2858,976,305,111,54,84
1967,High,3477,2900,7277,3546,910,211,51,30,58
1968,Low,1080,711,908,572,270,129,54,26,48
1968,Medium,2457,2186,4491,2666,1006,285,118,52,92
1968,High,3381,2918,7072,3518,909,216,72,23,74
1969,Low,1011,670,953,551,272,120,47,38,41
1969,Medium,2225,1957,4029,2399,866,278,104,38,71
1969,High,3216,2777,6668,3264,831,197,62,27,69
1970,Low,950,633,879,576,283,123,55,34,58
1970,Medium,2233,1965,3819,2286,869,255,92,35,87
1970,High,3331,2877,6546,3174,777,180,61,26,69
