cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,5526,6102,25736,10321,2849,904,317,143,276
1940,Medium,1611,1718,4605,1069,212,40,16,5,23
1940,High,687,615,1633,369,59,12,6,3,8
1941,Low,3861,4296,18009,7239,2011,609,244,112,184
1941,Medium,1234,1257,3557,881,162,41,18,4,17
1941,High,552,586,1385,326,67,8,0,3,10
1942,Low,3748,4158,19558,7561,2052,602,212,132,152
1942,Medium,1310,1282,3720,912,157,30,12,8,18
1942,High,617,588,1532,367,71,11,2,5,4
1943,Low,3386,3904,17473,6869,1758,501,180,109,152
1943,Medium,1237,1526,4383,1079,166,39,13,6,15
1943,High,687,656,1720,398,65,13,5,3,5
1944,Low,4065,4554,21522,8276,2175,603,234,115,182
1944,Medium,1499,1841,5697,1348,217,38,18,18,20
1944,High,890,856,2321,472,72,33,15,5,3
1945,Low,4354,5120,23193,8903,2223,637,201,120,203
1945,Medium,1669,2123,6257,1486,256,51,18,9,31
1945,High,1091,1048,2575,565,85,25,8,2,7
1946,Low,4939,5437,25259,9927,2497,676,217,128,205
1946,Medium,1933,2369,7436,1798,298,68,14,14,35
1946,High,1174,1186,3326,701,92,25,9,6,13
1947,Low,4239,4928,24085,9539,2432,627,218,102,176
1947,Medium,2076,2449,7285,1769,328,51,25,9,29
1947,High,1107,1263,3525,757,119,16,8,7,11
1948,Low,3797,4459,20750,8616,2197,575,208,98,163
1948,Medium,1836,2381,7411,1886,319,74,9,11,37
1948,High,1198,1379,3577,684,113,30,3,5,15
1949,Low,3520,3932,19569,7957,2053,516,173,114,168
1949,Medium,1769,2389,7449,1842,309,66,17,15,31
1949,High,1215,1326,3788,798,141,25,10,9,15
1950,Low,4091,4335,21049,8523,2302,581,215,118,180
1950,Medium,2225,2929,9070,2134,394,80,32,17,34
1950,High,1382,1631,4435,832,128,26,12,12,18
1951,Low,3219,3929,19882,8332,2165,533,208,85,157
1951,Medium,2268,3279,10208,2421,455,74,24,10,47
1951,High,1511,1734,4790,917,151,31,13,10,19
1952,Low,3190,3777,19146,7846,2094,526,183,94,159
1952,Medium,2523,3495,11416,2533,458,90,27,27,47
1952,High,1582,1903,5023,954,163,27,10,7,16
1953,Low,2888,3592,17712,7292,1912,454,157,84,143
1953,Medium,2411,3414,11073,2465,431,99,27,9,58
1953,High,1584,1976,4986,974,159,37,18,9,14
1954,Low,2892,3773,18100,7358,2105,499,178,82,114
1954,Medium,2486,3725,12078,2791,539,96,43,23,56
1954,High,1720,2322,5731,1063,214,22,12,12,24
1955,Low,3089,3814,18658,7361,2121,501,168,81,144
1955,Medium,2673,3982,12593,2934,594,76,26,20,48
1955,High,1869,2483,6397,1217,196,36,8,16,24
1956,Low,2834,3841,18556,7617,2137,449,146,75,133
1956,Medium,2744,4282,13145,3016,594,106,32,17,61
1956,High,2097,2842,6723,1270,218,46,13,9,27
1957,Low,2796,3620,17632,6910,2017,403,151,60,139
1957,Medium,2787,4446,13566,2948,608,87,32,30,61
1957,High,2068,2733,6464,1149,204,49,16,7,30
1958,Low,2777,3713,17311,6846,1987,432,154,65,139
1958,Medium,3050,4796,14871,3162,672,112,36,27,62
1958,High,2250,2952,6561,1178,182,39,7,11,25
1959,Low,2686,3653,17239,6872,2021,456,140,71,127
1959,Medium,3172,5437,16506,3745,724,118,26,25,69
1959,High,2319,3151,6762,1258,242,50,10,10,28
1960,Low,2876,3747,16687,6643,2026,458,170,52,138
1960,Medium,3742,5829,17603,3866,780,139,30,26,65
1960,High,2656,3458,7453,1353,255,49,21,13,27
1961,Low,2507,3400,14693,5781,1812,404,121,75,122
1961,Medium,3681,5640,16451,3790,727,115,33,19,73
1961,High,2877,3301,7373,1383,268,45,10,12,29
1962,Low,2817,3379,14651,5408,1825,391,118,67,116
1962,Medium,4111,5852,16461,3629,765,126,27,19,55
1962,High,3238,3601,7497,1455,286,51,20,22,39
1963,Low,2587,3253,13568,5068,1792,384,125,55,116
1963,Medium,4103,5930,16412,3527,696,128,45,34,74
1963,High,3313,3805,8167,1542,317,47,20,7,32
1964,Low,2347,3279,13260,5117,1638,383,118,58,104
1964,Medium,3912,6021,16289,3571,768,126,33,21,78
1964,High,3493,4310,9151,1830,371,72,22,14,59
1965,Low,2380,3274,12648,4737,1682,364,97,65,101
1965,Medium,4117,5945,16003,3603,796,109,42,19,64
1965,High,4084,4734,10620,2073,426,68,22,19,44
1966,Low,2315,3199,11737,4331,1581,315,107,61,122
1966,Medium,4480,6589,16772,3862,798,121,46,23,82
1966,High,4584,5124,11475,2402,481,64,19,20,46
1967,Low,2498,3262,11342,4305,1558,313,105,55,91
1967,Medium,5352,7500,18417,4343,869,166,28,34,88
1967,High,4832,5173,11030,2293,431,74,23,19,46
1968,Low,3067,3129,10783,4039,1332,322,83,54,87
1968,Medium,6441,7717,18888,4289,871,119,33,35,80
1968,High,5307,5060,10096,2193,512,83,19,18,45
1969,Low,2576,3153,10403,4010,1328,311,114,53,77
1969,Medium,6903,8573,20117,4546,894,132,54,39,102
1969,High,5256,4996,10150,2169,409,59,22,24,41
1970,Low,2629,3033,9114,3440,1175,270,106,52,88
1970,Medium,7114,8315,18759,4342,810,133,28,44,73
1970,High,5588,5034,9335,2037,445,49,18,18,34
