cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,2298,9724,18591,5702,1608,570,268,139,195
1940,Medium,1628,4464,5305,756,119,19,13,2,0
1940,High,936,1512,2154,355,55,11,4,0,0
1941,Low,2010,8694,17446,5242,1406,522,264,132,175
1941,Medium,1719,4743,6177,909,133,25,10,1,4
1941,High,1012,1788,2620,464,62,14,4,2,1
1942,Low,1921,7870,17020,5278,1510,554,250,117,131
1942,Medium,1992,5994,8830,1445,213,49,8,6,1
1942,High,1192,2115,3306,584,82,11,4,2,2
1943,Low,1643,6628,15495,5091,1333,473,223,120,143
1943,Medium,2024,6260,10115,1720,246,57,18,4,6
1943,High,1237,2201,3571,648,87,23,5,2,1
1944,Low,1649,5954,15057,5213,1482,466,252,123,150
1944,Medium,2298,7293,13273,2414,340,57,25,7,7
1944,High,1347,2433,4326,833,113,16,2,7,0
1945,Low,1305,4478,11979,4245,1169,456,191,91,139
1945,Medium,2207,6894,12957,2615,346,70,19,14,10
1945,High,1264,2162,4224,777,120,20,5,2,2
1946,Low,1221,3869,10905,4131,1192,425,214,85,105
1946,Medium,2325,7359,14821,2849,399,89,24,17,12
1946,High,1335,2332,4484,901,103,18,5,1,2
1947,Low,1427,4114,12157,4708,1305,465,204,115,121
1947,Medium,2605,8543,18018,3654,502,118,46,14,11
1947,High,1300,2421,4874,981,99,23,3,4,1
1948,Low,1523,4162,12209,5022,1386,562,213,105,133
1948,Medium,2695,8660,19824,3964,588,125,40,15,22
1948,High,1389,2398,4958,969,137,28,4,2,3
1949,Low,1553,3906,12389,5073,1458,539,249,135,156
1949,Medium,2781,8507,20736,4330,630,133,44,12,16
1949,High,1261,2499,4943,971,121,26,9,3,2
1950,Low,1581,3952,12499,5221,1518,538,259,122,138
1950,Medium,2854,8773,22092,4512,659,154,45,28,15
1950,High,1333,2758,5590,1133,139,31,9,1,8
1951,Low,1616,3750,12546,5197,1511,587,257,109,137
1951,Medium,2877,8633,21651,4637,667,136,54,18,11
1951,High,1435,2734,5946,1160,171,31,11,4,6
1952,Low,1549,3721,12110,5047,1489,536,227,116,107
1952,Medium,2697,8560,21371,4479,731,155,37,10,13
1952,High,1380,2817,6074,1284,197,31,11,7,4
1953,Low,1696,4015,12859,5290,1524,561,238,120,110
1953,Medium,3133,9824,23811,5141,734,175,51,18,15
1953,High,1680,3347,7156,1461,223,52,22,5,3
1954,Low,1788,4576,14033,5685,1669,590,253,102,126
1954,Medium,3348,10757,26218,5622,803,158,53,15,13
1954,High,1760,3676,7796,1565,223,53,19,8,5
1955,Low,1824,4273,13208,5563,1645,593,272,132,149
1955,Medium,3212,10530,25044,5287,883,177,54,16,18
1955,High,1647,3584,7610,1606,259,47,12,7,4
1956,Low,1659,3508,11016,4713,1543,617,264,121,138
1956,Medium,2950,10047,24122,5500,905,209,47,21,19
1956,High,1568,3454,7295,1634,217,52,13,11,8
1957,Low,1430,3142,9214,4169,1454,624,251,132,148
1957,Medium,2509,8512,21110,5138,865,206,71,25,30
1957,High,1430,3079,6687,1475,259,70,18,10,5
1958,Low,1249,2669,7783,3865,1373,554,269,124,142
1958,Medium,2507,8485,20920,5042,891,191,62,24,20
1958,High,1498,3255,6815,1609,286,56,19,5,4
1959,Low,1278,2385,6614,3515,1349,550,261,124,133
1959,Medium,2490,8421,20318,5316,937,188,60,21,14
1959,High,1457,3194,6415,1568,280,55,24,7,6
1960,Low,1279,2147,5837,3278,1357,611,268,122,153
1960,Medium,2576,8433,19837,5396,978,197,67,22,15
1960,High,1463,3241,6680,1666,296,49,24,4,4
1961,Low,1115,1864,4987,3078,1225,549,226,118,127
1961,Medium,2505,8314,19162,5336,943,221,66,20,21
1961,High,1421,3136,6522,1720,289,63,27,9,9
1962,Low,1048,1739,4360,2816,1197,514,259,135,147
1962,Medium,2458,7761,17448,5116,914,201,71,24,23
1962,High,1409,3139,6134,1720,267,69,22,11,5
1963,Low,1149,1761,4225,2757,1201,546,257,94,127
1963,Medium,2505,8307,17724,5165,973,237,67,29,24
1963,High,1573,3228,6288,1725,287,78,29,12,7
1964,Low,1138,1708,3934,2619,1105,478,260,115,157
1964,Medium,2711,8691,17500,5271,961,257,79,32,28
1964,High,1639,3439,6351,1848,324,90,20,6,4
1965,Low,1116,1741,3737,2609,1145,511,249,118,125
1965,Medium,2903,8791,17607,5403,1023,246,88,26,17
1965,High,1722,3475,6571,1836,354,75,26,7,6
1966,Low,1226,1812,3609,2650,1201,543,232,129,132
1966,Medium,3217,9526,17634,5662,1097,262,86,26,26
1966,High,1893,3682,6554,1980,375,102,21,9,8
1967,Low,1334,1999,3896,2915,1250,544,268,130,156
1967,Medium,3712,11026,19242,6053,1102,273,87,32,28
1967,High,2262,3965,7029,2094,392,103,29,13,12
1968,Low,1489,2182,3849,2869,1306,545,320,150,147
1968,Medium,4255,11875,19743,6251,1091,276,82,32,25
1968,High,2415,4268,6950,2267,440,85,24,7,7
1969,Low,1435,2080,3680,2761,1252,571,270,133,145
1969,Medium,4554,12126,18914,6066,1121,250,66,23,20
1969,High,2716,4239,7021,2190,390,98,24,9,6
1970,Low,1386,2062,3491,2646,1183,556,299,141,157
1970,Medium,4894,12452,18438,5932,1088,266,64,26,28
1970,High,2960,4493,6663,2189,401,83,26,6,4
