cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p,,,,,,,,,,,,,,,
1940,Low,1057,404,1000,1400,1453,1016,692,382,506,, ,,,,,,,,,,,,,
1940,Medium,547,204,528,674,570,412,192,96,100,,, ,,,,,,,,,,,,
1940,High,465,81,261,268,243,166,71,22,31,,,,,,,,,,,,,,,
1941,Low,977,468,1043,1496,1412,974,604,357,431,,,,,,,,,,,,,,,
1941,Medium,565,205,525,685,644,372,204,96,82,,,,,,,,,,,, ,,,
1941,High,456,96,247,337,283,146,76,44,23,,,,,,,,,,,,,,, 
1942,Low,1085,445,1286,1701,1647,1136,676,395,508,,,,,,,,,,,,,,,
1942,Medium,589,220,627,812,695,405,213,112,85,,,,,,,, ,,,,,,,
1942,High,478,114,310,397,310,188,85,40,30,,, ,,,,,,,,,,,,
1943,Low,1011,492,1388,1822,1729,1125,672,395,457, ,,,,,,,,,,,,,,
1943,Medium,618,246,685,878,788,437,223,102,94,,,,,,,,, ,,,,,,
1943,High,563,134,386,446,392,176,91,37,41,,,,,,,,,,,,,,,
1944,Low,1201,527,1468,1887,1796,1125,657,399,483,,,,,,,,,,,,,,,
1944,Medium,651,257,759,960,774,418,210,98,87,,,,,,,,,, ,,,,,
1944,High,615,145,436,462,443,227,99,42,22,,,,,,,,,,,,,,,
1945,Low,1298,576,1594,2066,1921,1255,731,381,477, ,,,,,,,,,,,,,,
1945,Medium,758,273,848,1067,900,452,243,110,95,,,,,,,,,,,,,,,
1945,High,632,172,497,598,448,234,110,31,31,,,,,,,,,,,,,,,
1946,Low,1259,549,1769,2195,2008,1216,702,347,416,,, ,,,,,,,,,,,,
1946,Medium,733,320,947,1150,880,478,243,96,69,,,,,,,,,,,,,,,
1946,High,680,195,523,620,476,213,104,38,36,,,,,,,,,,,,,,,
1947,Low,1327,634,1878,2387,2077,1243,697,352,434,,,,,,,,,,,,,,,
1947,Medium,782,365,1047,1198,960,501,230,95,88,,,,,,,,,,,,,,,
1947,High,678,235,592,723,546,265,120,38,28,,,,,,,,,,,,,,,
1948,Low,1366,672,1977,2400,2045,1185,720,340,378,,,,,,,,,,,,,,,
1948,Medium,834,398,1147,1284,943,500,234,102,81,, , ,,,,,,,,,,,,
1948,High,792,204,672,797,544,260,100,40,19,,,,,,,,,,,,,,,
1949,Low,1324,675,1954,2482,2091,1171,627,304,336,,,,,,,,,,,,,,,
1949,Medium,829,416,1212,1438,1008,522,240,81,83,,,,,,,,,,,,,,,
1949,High,791,278,708,854,540,271,114,42,22,,,,,,,,,,,,,,,
1950,Low,1324,699,1937,2442,1999,1143,631,311,313,,,,,,,,,,,,,,,
1950,Medium,912,437,1333,1502,1027,476,204,84,66,,,,,,,,,,,,,,,
1950,High,814,313,901,917,605,249,109,39,23,,,,,,,,,,,,,,,
1951,Low,1267,672,1947,2264,1884,1099,530,262,291,,,,,,,,,,,,,,,
1951,Medium,1009,472,1459,1590,1078,462,217,73,66,,,,,,,, ,,,,,,,
1951,High,864,321,912,1040,670,238,82,25,16,,,,,,,,,,,,,,,
1952,Low,1314,719,1975,2417,1928,1057,552,255,289,,,,,,,,,,,,,,,
1952,Medium,1156,592,1708,1755,1133,515,229,81,79,,,,,,,,,,,,,,,
1952,High,1017,379,1195,1174,724,242,103,44,23,,,,,,,,,,,,,,,
1953,Low,1294,726,2085,2274,1801,957,469,228,257,,,,,,,,,,,,,,,
1953,Medium,1133,583,1762,1793,1152,518,229,75,51,,,,,,,,,,,,,,,
1953,High,1088,431,1215,1310,713,245,95,35,16,,,,,,,,,,,,,,,
1954,Low,1327,716,2175,2326,1739,946,421,207,246,,,,,,,,,,,,,,,
1954,Medium,1294,671,1984,2011,1200,495,198,99,70,,,,,,,,,,,,,,,
1954,High,1145,481,1365,1381,730,298,87,32,21,,,,,,,,,,,,,,,
1955,Low,1277,682,2197,2271,1595,776,383,165,217,,,,,,,,,,,,,,,
1955,Medium,1344,720,2167,2105,1226,464,177,79,54,,,,,,,,,,,,,,,
1955,High,1242,537,1487,1483,828,262,87,36,17,,,,,,,,,,,,,,,
1956,Low,1228,773,2205,2232,1551,724,362,176,182,, ,,,,,,,,,,,,,
1956,Medium,1356,829,2382,2203,1229,496,186,57,53,,,,,,,,,,,,,,,
