cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1933,Low,475,752,1234,722,336,110,72,39,27
1933,Medium,93,71,148,54,15,0,1,0,0
1933,High,29,18,24,20,5,0,3,0,0
1938,Low,392,710,1511,834,277,122,51,19,21
1938,Medium,96,116,251,97,18,7,0,0,0
1938,High,30,49,53,19,6,1,0,0,0
1942,Low,313,611,1371,672,225,68,14,6,13
1942,Medium,114,175,306,100,22,1,2,0,0
1942,High,50,54,96,22,7,3,0,0,0
1948,Low,314,782,1623,645,174,60,25,9,5
1948,Medium,178,338,541,133,23,1,0,0,0
1948,High,92,121,193,44,9,1,0,0,0
1953,Low,269,651,1293,546,125,38,7,3,0
1953,Medium,236,433,702,146,32,7,3,0,0
1953,High,120,142,237,67,8,3,0,0,0
1958,Low,179,320,744,322,62,18,1,1,1
1958,Medium,212,342,596,150,23,4,0,0,0
1958,High,79,109,141,33,2,1,0,0,0
1963,Low,111,176,322,112,22,3,6,3,0
1963,Medium,140,200,347,62,8,4,0,0,1
1963,High,54,54,83,16,6,0,0,0,0
1968,Low,71,87,181,52,8,1,0,0,0
1968,Medium,89,111,209,44,11,1,0,0,0
1968,High,54,53,60,10,0,1,1,0,0
