cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,18007,63522,136466,61541,19631,13939,5300,2794,3483
1940,Medium,23287,122414,186393,39438,7447,3671,1180,554,648
1940,High,12156,51600,55219,7458,1100,421,116,92,100
1941,Low,14226,51119,114753,50521,15517,11130,4315,2105,2690
1941,Medium,22070,114929,174583,35840,6756,3302,1043,531,561
1941,High,11607,48128,52658,7183,1021,408,116,65,85
1942,Low,10338,36038,81147,36090,11654,8415,3356,1717,2153
1942,Medium,17556,88169,137484,29061,5539,2881,983,409,470
1942,High,9319,36839,42197,6353,895,420,92,67,87
1943,Low,5218,17831,40444,18025,5863,4332,1789,931,1196
1943,Medium,10259,51547,79213,17019,3347,1685,555,271,307
1943,High,5818,24304,27256,4097,601,284,97,51,52
1944,Low,4431,15610,34062,14824,4733,3356,1418,759,929
1944,Medium,11157,57753,83867,17619,3337,1578,566,277,301
1944,High,7235,29883,33197,4793,650,291,81,56,70
1945,Low,5012,17630,36057,15655,4885,3623,1482,802,924
1945,Medium,15439,78899,112293,23133,4452,2156,728,378,435
1945,High,9629,41850,45754,6542,899,396,105,85,69
1946,Low,7033,24323,52162,22472,6848,5088,2057,1026,1329
1946,Medium,23729,123645,189359,39618,7307,3590,1156,552,591
1946,High,14190,60337,69295,10048,1348,518,122,88,91
1947,Low,8080,27022,58249,25065,7723,6030,2381,1232,1554
1947,Medium,30936,164218,260529,55118,10087,5188,1620,792,840
1947,High,18757,77424,89638,13029,1731,676,169,136,132
1948,Low,6922,21859,46242,20174,6681,4984,2098,1061,1286
1948,Medium,28641,152276,248297,52809,9823,5048,1556,764,795
1948,High,16232,66424,77765,11487,1598,612,152,109,102
1949,Low,8829,28139,60785,26888,8745,6528,2676,1331,1578
1949,Medium,37974,201499,346366,76948,14101,7159,2246,1006,1107
1949,High,18956,75937,93271,14810,1906,732,183,148,150
1950,Low,8351,24839,53140,24786,8534,6321,2606,1303,1583
1950,Medium,37683,195597,339835,80337,15167,7810,2368,1153,1198
1950,High,18741,75223,95023,15714,2181,771,226,117,162
1951,Low,7210,20819,46366,22823,7946,5817,2387,1198,1379
1951,Medium,36223,188376,343808,85810,15917,7919,2551,1137,1191
1951,High,19199,75398,99483,16656,2185,803,216,123,147
1952,Low,7464,19445,44502,23191,8175,6016,2472,1176,1354
1952,Medium,37440,195172,366379,94284,17630,8736,2684,1255,1300
1952,High,19710,79972,107765,18370,2339,787,180,120,156
1953,Low,6940,17271,39225,20933,7707,5498,2338,1131,1221
