cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p
1940,Low,2519,7526,14840,3572,951,378,150,57,63
1940,Medium,797,2268,3791,375,48,8,4,0,1
1940,High,553,1096,1926,163,15,4,1,0,0
1941,Low,2177,6807,14265,3238,869,278,131,54,63
1941,Medium,838,2366,4012,413,51,10,5,0,1
1941,High,568,1061,1878,177,10,1,0,0,2
1942,Low,1901,6428,13531,2964,832,267,109,52,62
1942,Medium,829,2330,4311,445,36,13,3,1,5
1942,High,507,904,1969,155,14,0,1,1,0
1943,Low,1805,5474,12538,2864,760,251,106,50,47
1943,Medium,869,2307,4787,500,62,15,3,3,5
1943,High,480,1026,2054,192,14,3,3,0,0
1944,Low,1548,5216,11991,2784,747,238,95,52,59
1944,Medium,875,2552,5422,566,73,11,3,1,2
1944,High,500,970,2227,194,16,1,1,0,0
1945,Low,1376,4194,10177,2368,725,250,105,54,58
1945,Medium,878,2351,5584,606,82,16,4,2,6
1945,High,527,967,2175,225,28,6,1,0,1
1946,Low,1574,4608,12775,2925,695,241,128,40,44
1946,Medium,1296,3428,8200,903,100,17,4,3,3
1946,High,803,1483,3484,346,30,7,2,1,1
1947,Low,1723,5234,14532,3169,889,270,120,55,56
1947,Medium,1518,4017,10347,1089,136,31,2,3,4
1947,High,921,1821,4299,427,44,7,2,1,2
1948,Low,1738,5392,15400,3426,838,293,117,51,67
1948,Medium,1690,4420,11967,1343,146,24,13,4,2
1948,High,1094,2005,4672,444,47,5,0,0,0
1949,Low,1686,4948,15601,3514,852,277,90,47,49
1949,Medium,1839,4788,13479,1477,158,28,4,3,3
1949,High,1114,1927,4730,481,37,4,1,0,0
1950,Low,1791,4979,16559,3611,933,278,111,62,78
1950,Medium,1979,4830,14800,1683,207,29,9,4,5
1950,High,1158,2222,5135,533,38,5,2,1,0
1951,Low,1542,3983,14392,3253,756,249,88,57,55
1951,Medium,1888,4585,13833,1542,188,32,8,4,6
1951,High,1176,2057,4769,514,45,5,1,0,0
1952,Low,1729,4550,17569,3885,851,267,108,57,67
1952,Medium,2065,5030,16232,1911,202,36,9,6,3
1952,High,1257,2203,5225,559,45,9,1,3,1
1953,Low,1613,3906,16068,3517,847,298,112,56,50
1953,Medium,2147,5074,16378,2006,230,42,10,7,3
1953,High,1306,2238,5181,558,38,5,0,2,1
1954,Low,1610,3849,16146,3658,923,287,114,47,63
1954,Medium,2227,5111,17470,2145,229,39,10,4,7
1954,High,1343,2162,5089,630,40,4,2,0,1
1955,Low,1532,3276,14163,3319,831,255,105,42,58
1955,Medium,2110,5067,17094,2219,244,46,14,9,10
1955,High,1316,2119,4825,601,58,12,1,1,1
1956,Low,1421,2932,12892,3110,749,229,112,40,49
1956,Medium,2184,4912,17272,2314,275,42,14,5,3
1956,High,1326,2169,4820,618,61,12,3,0,1
1957,Low,1247,2452,10768,2883,720,240,78,42,46
1957,Medium,2058,4703,16015,2329,266,61,15,6,6
1957,High,1279,2048,4763,625,57,7,0,0,2
1958,Low,1089,2226,10103,2720,666,245,100,47,44
1958,Medium,2116,4678,16850,2596,304,44,13,10,4
1958,High,1317,2226,4870,676,51,10,0,0,0
1959,Low,1012,1984,8930,2464,665,210,85,36,49
1959,Medium,2131,4944,17313,2741,322,50,9,8,4
1959,High,1507,2128,4847,665,74,6,4,2,3
1960,Low,1008,1770,8382,2427,698,223,99,27,45
1960,Medium,2254,5234,18521,2972,365,59,12,9,10
1960,High,1499,2430,5148,771,87,7,1,1,3
1961,Low,937,1618,7299,2313,575,206,86,47,44
1961,Medium,2395,5271,17980,3097,350,76,20,8,5
1961,High,1659,2475,5280,759,67,11,0,0,3
1962,Low,902,1439,6565,2083,602,213,94,34,53
1962,Medium,2400,5217,17182,3051,391,61,17,4,10
1962,High,1698,2366,4941,756,71,12,0,1,1
1963,Low,835,1353,5917,2024,576,180,82,31,52
1963,Medium,2490,5299,17160,3175,419,78,11,12,3
1963,High,1662,2467,4808,767,77,7,5,1,1
1964,Low,770,1309,5500,1886,512,184,70,31,50
1964,Medium,2492,5149,16258,3112,417,69,18,7,12
1964,High,1709,2440,4538,678,61,7,1,3,2
1965,Low,818,1243,5482,1865,559,169,76,35,51
1965,Medium,2681,5244,16897,3317,467,73,26,11,13
1965,High,1856,2475,4593,706,65,13,1,0,2
1966,Low,786,1234,5161,1840,540,170,84,40,41
1966,Medium,2813,5254,16257,3188,459,73,24,11,8
1966,High,1953,2428,4402,686,59,11,1,1,1
1967,Low,778,1263,4921,1798,587,197,72,38,47
1967,Medium,2810,5538,15987,3167,435,65,33,6,9
1967,High,1954,2550,4321,690,69,10,3,2,1
1968,Low,841,1266,5050,1804,591,193,96,28,51
1968,Medium,2876,5514,15536,3129,473,82,23,6,8
1968,High,2059,2496,4181,716,61,10,3,1,1
1969,Low,820,1246,4830,1805,563,190,74,39,45
1969,Medium,3072,5663,15284,3125,454,86,22,3,10
1969,High,2162,2545,4176,700,54,9,4,2,0
1970,Low,805,1131,4446,1727,525,182,61,30,46
1970,Medium,3212,5560,14794,3153,394,79,18,8,7
1970,High,2399,2543,4396,686,62,8,2,0,0
